Store,Item,Date,Weekly_Demand
1,1,2010-02-07,99
1,1,2010-02-14,54
1,1,2010-02-21,100
1,1,2010-02-28,0
1,1,2010-03-07,51
1,1,2010-03-14,0
1,1,2010-03-21,50
1,1,2010-03-28,56
1,1,2010-04-04,52
1,1,2010-04-11,49
1,1,2010-04-18,51
1,1,2010-04-25,0
1,1,2010-05-02,0
1,1,2010-05-09,55
1,1,2010-05-16,55
1,1,2010-05-23,55
1,1,2010-05-30,52
1,1,2010-06-06,0
1,1,2010-06-13,0
1,1,2010-06-20,54
1,1,2010-06-27,0
1,1,2010-07-04,54
1,1,2010-07-11,53
1,1,2010-07-18,52
1,1,2010-07-25,0
1,1,2010-08-01,57
1,1,2010-08-08,52
1,1,2010-08-15,0
1,1,2010-08-22,51
1,1,2010-08-29,51
1,1,2010-09-05,0
1,1,2010-09-12,69
1,1,2010-09-19,46
1,1,2010-09-26,46
1,1,2010-10-03,0
1,1,2010-10-10,0
1,1,2010-10-17,44
1,1,2010-10-24,66
1,1,2010-10-31,0
1,1,2010-11-07,46
1,1,2010-11-14,87
1,1,2010-11-21,43
1,1,2010-11-28,0
1,1,2010-12-05,44
1,1,2010-12-12,45
1,1,2010-12-19,51
1,1,2010-12-26,0
1,1,2011-01-02,25
1,1,2011-01-09,37
1,1,2011-01-16,0
1,1,2011-01-23,25
1,1,2011-01-30,48
1,1,2011-02-06,24
1,1,2011-02-13,24
1,1,2011-02-20,25
1,1,2011-02-27,0
1,1,2011-03-06,23
1,1,2011-03-13,24
1,1,2011-03-20,23
1,1,2011-03-27,24
1,1,2011-04-03,36
1,1,2011-04-10,23
1,1,2011-04-17,25
1,1,2011-04-24,24
1,1,2011-05-01,0
1,1,2011-05-08,25
1,1,2011-05-15,24
1,1,2011-05-22,0
1,1,2011-05-29,0
1,1,2011-06-05,24
1,1,2011-06-12,25
1,1,2011-06-19,25
1,1,2011-06-26,26
1,1,2011-07-03,0
1,1,2011-07-10,0
1,1,2011-07-17,27
1,1,2011-07-24,28
1,1,2011-07-31,58
1,1,2011-08-07,27
1,1,2011-08-14,52
1,1,2011-08-21,51
1,1,2011-08-28,0
1,1,2011-09-04,52
1,1,2011-09-11,0
1,1,2011-09-18,24
