Store,Item,Date,Weekly_Demand
2,1,2010-02-07,19
2,1,2010-02-14,58
2,1,2010-02-21,55
2,1,2010-02-28,47
2,1,2010-03-07,19
2,1,2010-03-14,20
2,1,2010-03-21,47
2,1,2010-03-28,0
2,1,2010-04-04,29
2,1,2010-04-11,19
2,1,2010-04-18,0
2,1,2010-04-25,20
2,1,2010-05-02,20
2,1,2010-05-09,20
2,1,2010-05-16,21
2,1,2010-05-23,33
2,1,2010-05-30,31
2,1,2010-06-06,0
2,1,2010-06-13,42
2,1,2010-06-20,31
2,1,2010-06-27,64
2,1,2010-07-04,38
2,1,2010-07-11,37
2,1,2010-07-18,37
2,1,2010-07-25,0
2,1,2010-08-01,19
2,1,2010-08-08,18
2,1,2010-08-15,28
2,1,2010-08-22,55
2,1,2010-08-29,37
2,1,2010-09-05,56
2,1,2010-09-12,35
2,1,2010-09-19,35
2,1,2010-09-26,17
2,1,2010-10-03,35
2,1,2010-10-10,36
2,1,2010-10-17,34
2,1,2010-10-24,25
2,1,2010-10-31,0
2,1,2010-11-07,51
2,1,2010-11-14,50
2,1,2010-11-21,67
2,1,2010-11-28,17
2,1,2010-12-05,42
2,1,2010-12-12,17
2,1,2010-12-19,19
2,1,2010-12-26,0
2,1,2011-01-02,25
2,1,2011-01-09,56
2,1,2011-01-16,49
2,1,2011-01-23,25
2,1,2011-01-30,23
2,1,2011-02-06,50
2,1,2011-02-13,17
2,1,2011-02-20,42
2,1,2011-02-27,25
2,1,2011-03-06,32
2,1,2011-03-13,35
2,1,2011-03-20,16
2,1,2011-03-27,49
2,1,2011-04-03,32
2,1,2011-04-10,41
2,1,2011-04-17,0
2,1,2011-04-24,33
2,1,2011-05-01,25
2,1,2011-05-08,17
2,1,2011-05-15,58
2,1,2011-05-22,34
2,1,2011-05-29,17
2,1,2011-06-05,33
2,1,2011-06-12,17
2,1,2011-06-19,50
2,1,2011-06-26,19
2,1,2011-07-03,18
2,1,2011-07-10,46
2,1,2011-07-17,27
2,1,2011-07-24,18
2,1,2011-07-31,37
2,1,2011-08-07,61
2,1,2011-08-14,26
2,1,2011-08-21,42
2,1,2011-08-28,42
2,1,2011-09-04,100
2,1,2011-09-11,47
2,1,2011-09-18,31
2,1,2011-09-25,70
2,1,2011-10-02,0
2,1,2011-10-09,23
2,1,2011-10-16,53
2,1,2011-10-23,15
2,1,2011-10-30,53
2,1,2011-11-06,22
2,1,2011-11-13,30
2,1,2011-11-20,45
2,1,2011-11-27,44
2,1,2011-12-04,30
2,1,2011-12-11,45
2,1,2011-12-18,48
2,1,2011-12-25,17
2,1,2012-01-01,15
2,1,2012-01-08,78
2,1,2012-01-15,62
2,1,2012-01-22,62
2,1,2012-01-29,70
2,1,2012-02-05,98
2,1,2012-02-12,56
2,1,2012-02-19,43
2,1,2012-02-26,28
2,1,2012-03-04,48
2,1,2012-03-11,29
2,1,2012-03-18,36
2,1,2012-03-25,35
2,1,2012-04-01,52
2,1,2012-04-08,60
2,1,2012-04-15,14
2,1,2012-04-22,71
2,1,2012-04-29,29
2,1,2012-05-06,59
2,1,2012-05-13,68
2,1,2012-05-20,16
2,1,2012-05-27,43
2,1,2012-06-03,49
2,1,2012-06-10,35
2,1,2012-06-17,64
2,1,2012-06-24,15
2,1,2012-07-01,30
2,1,2012-07-08,14
2,1,2012-07-15,42
2,1,2012-07-22,21
2,1,2012-07-29,58
2,1,2012-08-05,57
2,1,2012-08-12,35
2,1,2012-08-19,29
2,1,2012-08-26,57
2,1,2012-09-02,56
2,1,2012-09-09,39
2,1,2012-09-16,26
2,1,2012-09-23,39
2,1,2012-09-30,19
2,1,2012-10-07,26
2,1,2012-10-14,49
2,1,2012-10-21,63
2,1,2012-10-28,25
2,2,2010-02-07,32
2,2,2010-02-14,29
2,2,2010-02-21,26
2,2,2010-02-28,24
2,2,2010-03-07,26
2,2,2010-03-14,25
2,2,2010-03-21,25
2,2,2010-03-28,46
2,2,2010-04-04,29
2,2,2010-04-11,27
2,2,2010-04-18,27
2,2,2010-04-25,24
2,2,2010-05-02,23
2,2,2010-05-09,22
2,2,2010-05-16,26
2,2,2010-05-23,17
2,2,2010-05-30,26
2,2,2010-06-06,21
2,2,2010-06-13,21
2,2,2010-06-20,21
2,2,2010-06-27,22
2,2,2010-07-04,16
2,2,2010-07-11,16
2,2,2010-07-18,20
2,2,2010-07-25,17
2,2,2010-08-01,19
2,2,2010-08-08,16
2,2,2010-08-15,21
2,2,2010-08-22,21
2,2,2010-08-29,23
2,2,2010-09-05,23
2,2,2010-09-12,25
2,2,2010-09-19,22
2,2,2010-09-26,26
2,2,2010-10-03,76
2,2,2010-10-10,60
2,2,2010-10-17,34
2,2,2010-10-24,37
2,2,2010-10-31,33
2,2,2010-11-07,34
2,2,2010-11-14,47
2,2,2010-11-21,100
2,2,2010-11-28,41
2,2,2010-12-05,29
2,2,2010-12-12,32
2,2,2010-12-19,69
2,2,2010-12-26,29
2,2,2011-01-02,40
2,2,2011-01-09,40
2,2,2011-01-16,41
2,2,2011-01-23,40
2,2,2011-01-30,34
2,2,2011-02-06,37
2,2,2011-02-13,35
2,2,2011-02-20,34
2,2,2011-02-27,32
2,2,2011-03-06,34
2,2,2011-03-13,33
2,2,2011-03-20,34
2,2,2011-03-27,28
2,2,2011-04-03,25
2,2,2011-04-10,29
2,2,2011-04-17,51
2,2,2011-04-24,44
2,2,2011-05-01,31
2,2,2011-05-08,32
2,2,2011-05-15,32
2,2,2011-05-22,35
2,2,2011-05-29,30
2,2,2011-06-05,26
2,2,2011-06-12,26
2,2,2011-06-19,23
2,2,2011-06-26,26
2,2,2011-07-03,23
2,2,2011-07-10,26
2,2,2011-07-17,28
2,2,2011-07-24,26
2,2,2011-07-31,30
2,2,2011-08-07,26
2,2,2011-08-14,26
2,2,2011-08-21,27
2,2,2011-08-28,25
2,2,2011-09-04,33
2,2,2011-09-11,29
2,2,2011-09-18,30
2,2,2011-09-25,37
2,2,2011-10-02,80
2,2,2011-10-09,77
2,2,2011-10-16,47
2,2,2011-10-23,38
2,2,2011-10-30,38
2,2,2011-11-06,42
2,2,2011-11-13,37
2,2,2011-11-20,51
2,2,2011-11-27,46
